zip_code,year,quarter,ev_registrations
11565,2023,1,1
11566,2022,2,1
11566,2023,2,2
11566,2023,3,5
11566,2023,4,4
11566,2024,1,1
11566,2024,2,4
11566,2024,3,4
11566,2024,4,2
11566,2025,1,2
11566,2025,2,1
11566,2025,3,6
11568,2023,3,1
11568,2023,4,1
11568,2024,2,2
11568,2025,4,2
11570,2022,3,2
11570,2022,4,1
11570,2023,4,3
11570,2025,2,2
11572,2025,1,2
11575,2023,2,1
11575,2023,3,1
11575,2025,3,1
11575,2025,4,2
11576,2023,1,1
11576,2023,2,3
11576,2023,3,2
11576,2023,4,1
11576,2024,3,3
11576,2025,3,3
11577,2023,3,2
11577,2023,4,2
11577,2024,1,1
11577,2024,2,2
11577,2024,3,3
11577,2024,4,2
11577,2025,3,1
11577,2025,4,2
11579,2023,1,1
11579,2023,2,3
11579,2023,3,3
11579,2023,4,3
11579,2024,1,3
11579,2024,2,3
11579,2024,3,3
11579,2024,4,3
11579,2025,1,1
11580,2022,3,1
11580,2022,4,1
11580,2023,3,2
11580,2023,4,4
11580,2024,2,1
11580,2024,3,2
11580,2025,3,1
11580,2025,4,1
11581,2022,2,1
11581,2022,3,3
11581,2022,4,1
11581,2023,1,2
11581,2023,2,1
11581,2023,3,2
11581,2023,4,3
11581,2024,1,1
11581,2024,3,3
11581,2024,4,1
11581,2025,2,2
11581,2025,3,6
11581,2025,4,1
11590,2023,2,1
11590,2024,1,3
11590,2024,2,2
11590,2025,2,1
11596,2022,3,2
11596,2023,2,2
11596,2024,3,1
11596,2024,4,2
11598,2022,4,2
11598,2023,3,2
11598,2023,4,1
11598,2024,2,2
11598,2024,3,3
11598,2024,4,2
11691,2023,3,2
11691,2024,2,4
11691,2024,4,1
11691,2025,1,3
11691,2025,3,1
11691,2025,4,3
11693,2023,4,1
11693,2024,1,1
11693,2025,1,1
11693,2025,2,1
11694,2022,3,2
11700,2022,3,1
11700,2022,4,1
11701,2025,1,1
11703,2024,1,1
11703,2024,2,1
11703,2024,4,2
11703,2025,1,1
11703,2025,2,1
11704,2025,3,1
11706,2024,1,2
11709,2022,3,4
11710,2023,3,4
11710,2025,1,1
11710,2025,2,3
11710,2025,3,2
11713,2024,2,2
11714,2022,3,3
11714,2025,3,2
11715,2024,3,2
11716,2025,3,3
11716,2025,4,1
11720,2023,1,2
11720,2023,2,1
11720,2024,4,3
11721,2025,3,2
11724,2023,2,2
11725,2023,2,2
11725,2024,2,1
11726,2023,2,2
11726,2024,4,2
11726,2025,3,1
11726,2025,4,1
11729,2024,4,2
11729,2025,2,2
11729,2025,3,4
11729,2025,4,2
11730,2024,4,1
11731,2022,2,1
11731,2022,3,1
11731,2023,2,2
11732,2025,3,2
11733,2022,3,2
11733,2024,2,4
11733,2024,3,3
11733,2025,1,2
11735,2023,1,1
11735,2023,2,1
11735,2023,3,3
11735,2024,3,2
11735,2025,2,2
11740,2022,2,1
11740,2022,4,2
11740,2023,1,1
11740,2023,3,1
11740,2023,4,1
11740,2025,1,1
11740,2025,2,1
11741,2023,1,1
11741,2023,2,2
11741,2023,3,1
11741,2024,3,2
11742,2023,4,1
11742,2024,1,1
11743,2023,4,2
11743,2024,1,1
11743,2024,2,3
11743,2024,3,2
11743,2024,4,1
11743,2025,3,1
11743,2025,4,4
11746,2023,2,3
11746,2023,3,6
11746,2023,4,2
11746,2024,1,3
11746,2024,2,3
11746,2024,3,5
11746,2024,4,2
11746,2025,2,2
11746,2025,3,6
11747,2022,3,2
11747,2022,4,1
11747,2024,2,2
11747,2024,3,2
11747,2024,4,4
11747,2025,1,2
11747,2025,3,3
11747,2025,4,1
11749,2023,3,2
11753,2023,2,2
11753,2023,4,1
11753,2024,3,2
11754,2025,3,2
11756,2023,2,3
11756,2024,1,1
11756,2024,2,2
11756,2024,3,1
11756,2024,4,2
11756,2025,1,1
11756,2025,2,3
11756,2025,3,2
11757,2025,2,2
11758,2022,4,2
11758,2023,4,4
11758,2024,1,2
11758,2024,2,2
11758,2024,3,2
11758,2025,3,2
11762,2024,2,2
11762,2024,3,2
11762,2024,4,1
11762,2025,4,1
11763,2023,1,1
11763,2023,2,2
11764,2023,2,1
11764,2023,3,3
11764,2024,4,2
11764,2025,1,1
11764,2025,2,2
11764,2025,3,3
11766,2024,4,2
11766,2025,1,1
11767,2023,2,7
11767,2024,2,2
11767,2024,4,2
11767,2025,2,3
11767,2025,3,2
11767,2025,4,1
11768,2025,3,2
11771,2023,4,1
11771,2024,1,1
11772,2022,3,1
11772,2023,3,2
11772,2025,2,2
11776,2023,4,2
11776,2024,1,1
11776,2024,4,2
11776,2025,2,2
11776,2025,4,1
11777,2022,4,2
11779,2024,2,1
11779,2024,3,4
11779,2024,4,1
11779,2025,1,2
11780,2022,2,1
11780,2022,3,1
11780,2024,2,2
11780,2025,2,2
11784,2022,2,1
11784,2024,2,1
11784,2024,3,2
11784,2024,4,3
11786,2025,4,2
11787,2022,2,1
11787,2022,3,3
11787,2022,4,1
11787,2023,2,5
11787,2024,2,2
11787,2024,3,1
11787,2025,2,3
11787,2025,3,4
11788,2023,2,3
11788,2024,4,3
11790,2022,3,2
11790,2023,1,1
11790,2023,2,1
11791,2023,2,1
11791,2023,3,1
11791,2024,2,4
11791,2024,3,1
11791,2024,4,1
11791,2025,3,6
11791,2025,4,1
11795,2025,3,2
11797,2023,3,1
11797,2023,4,1
11797,2024,2,3
11797,2024,4,3
11797,2025,1,4
11797,2025,3,2
11797,2025,4,3
11798,2023,3,1
11798,2023,4,2
11798,2024,1,2
11798,2024,2,4
11801,2022,2,1
11801,2023,3,3
11801,2023,4,1
11801,2024,3,1
11801,2024,4,3
11801,2025,1,1
11801,2025,2,5
11801,2025,3,5
11801,2025,4,1
11803,2022,2,1
11803,2023,2,5
11803,2023,3,1
11803,2023,4,1
11803,2024,1,8
11803,2024,2,5
11803,2024,3,3
11803,2024,4,5
11803,2025,1,3
11803,2025,2,5
11803,2025,3,4
11803,2025,4,2
11804,2022,2,1
11901,2022,2,1
11901,2024,1,1
11901,2024,2,2
11901,2024,3,1
11933,2024,2,3
11934,2024,1,1
11934,2024,2,1
11937,2022,2,1
11937,2024,1,1
11937,2024,2,1
11937,2025,2,3
11942,2025,1,3
11942,2025,3,1
11942,2025,4,1
11950,2024,2,2
11961,2025,4,1
11963,2023,3,2
11963,2023,4,2
11963,2024,4,2
11964,2023,2,2
11967,2024,4,2
11976,2023,3,1
11976,2023,4,1
11976,2025,2,1
11976,2025,3,1
12010,2025,2,2
12010,2025,3,1
12020,2024,4,2
12047,2024,3,3
12047,2025,1,1
12047,2025,2,2
12047,2025,4,1
12053,2025,1,1
12053,2025,2,1
12060,2025,3,2
12061,2025,2,3
12065,2022,2,1
12065,2025,1,1
12065,2025,2,3
12078,2022,4,2
12078,2023,1,3
12084,2024,3,1
12084,2024,4,3
12084,2025,1,2
12110,2024,1,2
12110,2025,3,1
12118,2025,1,1
12118,2025,2,2
12121,2025,3,1
12121,2025,4,1
12125,2024,3,3
12134,2024,2,2
12134,2024,3,2
12148,2024,4,3
12148,2025,1,3
12148,2025,2,2
12159,2024,2,2
12159,2024,3,2
12160,2022,2,1
12167,2025,2,1
12167,2025,3,1
12180,2022,3,3
12180,2024,1,2
12184,2025,2,2
12184,2025,3,1
12184,2025,4,3
12190,2025,3,1
12190,2025,4,2
12196,2025,2,1
12196,2025,3,3
12196,2025,4,1
12201,2022,4,2
12202,2025,1,3
12203,2024,1,2
12203,2025,3,1
12203,2025,4,1
12204,2024,4,2
12205,2025,2,2
12206,2025,1,1
12208,2023,4,1
12208,2024,1,1
12208,2024,4,1
12211,2025,2,2
12302,2025,1,2
12303,2025,3,1
12303,2025,4,2
12306,2024,2,2
12307,2024,1,1
12308,2024,4,1
12309,2024,2,1
12309,2024,3,1
12309,2025,1,1
12309,2025,2,2
12345,2024,2,1
12404,2023,3,1
12404,2023,4,1
12440,2024,4,2
12446,2024,4,2
12446,2025,3,2
12498,2022,3,2
12508,2024,2,1
12508,2024,3,1
12513,2024,2,1
12513,2024,3,3
12513,2024,4,1
12524,2023,2,2
12525,2022,4,2
12525,2025,2,2
12526,2024,1,2
12528,2025,1,2
12528,2025,2,2
12528,2025,4,1
12529,2025,4,2
12531,2023,4,1
12534,2024,2,1
12534,2024,3,3
12545,2024,4,1
12546,2022,4,1
12546,2023,1,2
12546,2023,2,2
12547,2025,2,2
12549,2024,4,2
12550,2022,3,2
12550,2024,1,2
12550,2024,2,1
12550,2025,1,2
12550,2025,2,2
12550,2025,4,2
12553,2023,4,2
12563,2025,2,2
12566,2024,3,2
12572,2024,3,3
12586,2025,3,2
12589,2025,1,1
12589,2025,2,1
12590,2024,1,2
12590,2024,2,3
12590,2025,3,2
12601,2023,2,2
12603,2023,2,3
12603,2023,3,1
12603,2025,1,1
12603,2025,2,1
12719,2025,4,2
12734,2023,3,2
12789,2023,2,2
12831,2023,2,2
12832,2022,3,1
12833,2024,2,2
12833,2025,2,2
12866,2023,4,2
12866,2025,1,2
12866,2025,2,5
12866,2025,3,5
12980,2023,4,1
12980,2024,1,1
12989,2024,1,2
12989,2024,2,1
13021,2024,2,3
13021,2024,3,3
13021,2025,3,2
13027,2022,2,1
13027,2022,3,1
13031,2023,1,2
13031,2024,1,2
13031,2024,2,2
13031,2024,3,1
