zip_code,year,quarter,sewer_overflow_incidents
21679,2024,3,1
21701,2023,2,1
21701,2024,1,2
21701,2024,4,1
21701,2025,2,1
21701,2025,3,1
21702,2025,2,1
21703,2023,3,1
21703,2024,1,1
21703,2024,3,1
21704,2023,2,1
21704,2023,4,2
21704,2024,2,1
21704,2024,4,1
21704,2025,4,2
21704,2026,1,1
21705,2024,2,1
21710,2025,2,1
21713,2023,3,2
21713,2024,1,2
21713,2024,3,1
21713,2025,2,1
21716,2023,4,1
21716,2025,3,1
21716,2025,4,1
21717,2024,1,1
21719,2025,2,1
21720,2024,1,1
21723,2023,1,1
21723,2024,3,1
21723,2025,3,1
21727,2023,1,1
21727,2023,3,1
21727,2023,4,1
21727,2024,1,2
21727,2024,2,2
21727,2024,4,1
21727,2025,2,1
21737,2026,1,1
21740,2023,1,1
21740,2023,2,2
21740,2023,3,2
21740,2023,4,1
21740,2024,2,2
21740,2024,3,3
21740,2024,4,2
21740,2025,1,2
21740,2025,2,2
21740,2025,3,3
21740,2025,4,2
21742,2023,3,2
21742,2023,4,1
21742,2024,3,1
21742,2025,3,1
21742,2026,1,1
21746,2024,1,1
21750,2023,1,1
21750,2023,3,1
21750,2024,1,3
21750,2024,2,3
21750,2025,1,1
21750,2025,2,4
21750,2025,3,1
21750,2025,4,3
21750,2026,1,3
21755,2024,4,1
21756,2023,4,1
21760,2024,2,1
21769,2024,1,2
21769,2024,2,2
21769,2025,2,3
21769,2026,1,1
21771,2023,2,1
21771,2024,1,1
21773,2023,4,1
21773,2025,1,1
21773,2025,2,2
21773,2025,4,1
21774,2023,2,1
21774,2023,3,2
21774,2023,4,1
21774,2024,2,1
21774,2025,1,1
21774,2025,4,1
21780,2024,2,1
21780,2025,2,2
21782,2024,4,1
21782,2025,1,1
21782,2025,2,1
21782,2026,1,1
21783,2024,1,1
21783,2025,3,1
21783,2025,4,1
21784,2023,2,1
21784,2023,3,1
21784,2024,1,3
21784,2024,2,1
21784,2024,3,3
21784,2025,2,1
21784,2026,1,1
21787,2025,4,1
21788,2024,1,1
21788,2024,2,1
21788,2025,2,1
21791,2026,1,1
21797,2024,4,1
21798,2025,4,1
